,time,seconds_elapsed,z,y,x
0,1775508865636915700,0.0,0.1981055743306875,0.0093172789216041,-0.0423630412919446
1,1775508865646848800,0.009933105468749995,0.0253372703522443,-0.0376163216888904,-0.1385254955769516
2,1775508865656782600,0.019866699218749992,-0.0276776959985494,-0.0516781647890806,-0.1703040875556878
3,1775508865666715600,0.0297998046875,-0.0144394442409276,0.0244458744704723,-0.0802396761511452
4,1775508865676649700,0.039733886718749986,-0.014351181435585,0.120557639747858,0.0421845429198816
5,1775508865686582800,0.049666992187499995,0.0099637601315975,0.1772176846027374,0.0779527159914374
6,1775508865696516900,0.05960107421875001,0.032907997867465,0.1293856738477945,0.0541526834101416
7,1775508865706450700,0.069534912109375,-0.0408703550487756,0.0798345842152833,0.0453298004093579
8,1775508865716383700,0.07946801757812501,-0.1083335334688425,0.0116074356853961,0.0260048126165755
9,1775508865726317600,0.08940185546875,-0.1022141738057136,-0.021022329762578,0.0459476217804476
10,1775508865736250600,0.09933496093750001,-0.0645101738333702,-0.005919453176856,0.0770864545509219
11,1775508865746184700,0.10926904296875,-0.0343751478105783,-0.0090747023373842,0.0955404681954532
12,1775508865756117500,0.11920166015624999,-0.0396861137002706,-0.0446942972511053,0.0582592236798256
13,1775508865766051800,0.129135986328125,-0.1286351477414369,-0.0989320833951234,-0.0276275367138907
14,1775508865775984600,0.13906884765625,-0.117603466117382,-0.108183311343193,-0.0349284891107119
15,1775508865785918700,0.1490029296875,-0.0589180529147386,-0.0628285043567419,0.0145077785030938
16,1775508865795851800,0.15893603515625,-0.013090367719531,-0.0331581732362508,0.0562649080574512
17,1775508865805785600,0.168869873046875,0.0186620303720235,-0.0569447070151567,0.0238220069510862
18,1775508865815718700,0.178802978515625,0.0037234044373035,-0.0763555099278688,0.0129252768183127
19,1775508865825652500,0.18873681640625,-0.0298702376067638,-0.0559469281494617,0.0089620540094561
20,1775508865835585500,0.198669677734375,-0.0246469500005245,-0.0443184496760368,0.0335593196493573
21,1775508865845520000,0.20860400390625,0.0056277767539024,-0.0223404266238212,0.0607523374035023
22,1775508865855452700,0.218536865234375,0.0315150822043418,-0.039366380226612,0.0385015800908207
23,1775508865865386800,0.228470947265625,0.0127437462389469,-0.0470791465610265,-0.0173041312233544
24,1775508865875320600,0.23840478515624997,0.0435357748657464,-0.0404950919955968,-0.0143129683170467
25,1775508865885253600,0.248337890625,0.0598275689750909,-0.0172048173010349,0.0429686790348961
26,1775508865895187700,0.25827197265624996,0.1057329955816268,-0.0037415246158838,0.0779028489677235
27,1775508865905120500,0.268204833984375,0.0816951173901558,-0.0008329436928033,0.1029821077045984
28,1775508865915054800,0.27813916015624995,0.0488221908360719,-0.0042021278649568,0.0702067415071651
29,1775508865924988000,0.288072021484375,0.0191916072040796,0.0079553429186344,0.0320459742106497
30,1775508865934921700,0.29800585937499996,-0.0301250891506671,0.007816226708889,0.0066643532600253
31,1775508865944854800,0.30793896484375,-0.0601993248969316,0.0159106858372688,0.0042540224489755
32,1775508865954788600,0.31787280273437496,-0.0503980618506669,0.0254056594133377,0.0559903106334619
33,1775508865964721700,0.327805908203125,0.0188595987707376,0.0397042338788509,0.1078555954924784
34,1775508865974655700,0.33773999023437495,0.0611561872303485,0.0274275206297636,0.0966997577657923
35,1775508865984588500,0.3476728515625,0.0642564913332462,0.0208475577175617,0.0888347965443506
36,1775508865994523000,0.357607177734375,0.0625952801227569,0.024211481192708,0.0869677788297645
37,1775508866004456700,0.36754101562499997,0.0620639497250318,0.0346399362266063,0.0849261352006345
38,1775508866014389800,0.37747387695312495,0.0389905326515436,0.044970776104927,0.1104697235136292
39,1775508866024323600,0.38740771484375,0.010438391906023,0.0465630137324333,0.0665380994644016
40,1775508866034256600,0.39734082031249995,-0.0056511576294898,0.0298690685629844,0.0395093140949495
41,1775508866044190700,0.40727490234374997,-0.0054576808840036,0.010281740039587,0.0302103197487071
42,1775508866054123500,0.41720776367187495,0.0336585239738225,0.0268476749151945,0.0378587156100198
43,1775508866064057600,0.42714184570312497,0.0716197135776281,0.0323942031264305,0.0517776796407997
44,1775508866073990700,0.437074951171875,0.0798264009088277,0.0280710792303085,0.0030410664626397
45,1775508866083924700,0.447009033203125,0.048003275668621,0.0070060793697834,0.0068377370655536
46,1775508866093857800,0.45694213867187494,0.0569943913757801,0.0131961661815643,0.0606145911669358
47,1775508866103791600,0.46687573242187497,0.0997720413506031,0.0285772751867771,0.1016941685196012
48,1775508866113724700,0.476808837890625,0.1136263791799545,0.0194476277917623,0.0851612225981429
49,1775508866123658800,0.486742919921875,0.0758726948469877,-0.0017202479213476,0.0437600486082956
50,1775508866133591600,0.49667578125,0.0187549693524837,-0.0132072720974683,0.0066230166026391
51,1775508866143525600,0.50660986328125,-0.0179150113970041,-0.027077976539731,0.0097324903926812
52,1775508866153459700,0.5165439453125,-0.0275707284927368,-0.0180535430848598,0.0531669603084214
53,1775508866163392800,0.52647705078125,0.0030664018332958,-0.0089484456092119,0.0863176991568878
54,1775508866173326800,0.5364111328125,0.0203518831551074,-0.0279816473811864,0.0623600283284671
55,1775508866183259600,0.546343994140625,0.0165863931417465,-0.0579933392852544,0.0169820961947552
56,1775508866193193700,0.556278076171875,0.0111000706851482,-0.0575122777700424,-0.0139582548615522
57,1775508866203126800,0.5662109375,0.0558650950849056,-0.0536591094732284,-0.0179779570979997
58,1775508866213060600,0.576144775390625,0.0182142866045236,-0.0336117622226476,0.0172549583193846
59,1775508866222993700,0.586077880859375,0.0055851066559553,-0.0020282909572124,0.050817766833771
60,1775508866232927700,0.596011962890625,-0.016512743383646,0.004716507127881,0.0327699959025718
61,1775508866242860800,0.605945068359375,-0.1158066458284854,-0.0356534971833229,-0.0245359091077931
62,1775508866252794600,0.61587890625,-0.1067097316592931,-0.076038114541769,-0.0361685888323001
63,1775508866262727700,0.62581201171875,-0.0172591778367757,-0.0585235006392002,0.0202619033167138
64,1775508866272661800,0.63574609375,0.0573807603448629,-0.0624140783369541,0.0608168905396945
65,1775508866282594600,0.6456787109375,0.1203665010899305,-0.0416769952565431,0.075765014955122
66,1775508866292528600,0.65561279296875,0.1529389833927154,-0.0472743768721818,0.1057773461800068
67,1775508866302462700,0.665546875,0.162277889624238,-0.0538946717947721,0.1140290782293304
68,1775508866312395800,0.67547998046875,0.1196434475123882,-0.0540220975667238,0.1039607434784062
69,1775508866322329900,0.6854140625,0.0349006329894065,-0.0430114587306976,0.0931325120045803
70,1775508866332262700,0.695346923828125,0.0269108032792806,-0.036029929280281,0.0584673865377902
71,1775508866342196700,0.705281005859375,-0.003112579062581,-0.0732400082558393,-0.0037851810945197
72,1775508866352129800,0.715214111328125,0.018028993165493,-0.0797106655746698,-0.033183873933088
73,1775508866362063600,0.72514794921875,0.028898177704215,-0.0584498508810997,-0.0062401364985853
74,1775508866371996700,0.735080810546875,0.0655798488914966,-0.0387777666836977,0.0022517427158541
75,1775508866381930500,0.7450146484375,0.0313712898194789,-0.020583938345313,0.0174078107935376
76,1775508866391863600,0.75494775390625,0.0047585927039384,-0.0087818568706512,0.0746834302634932
