,subject_id,session_id,label,mean,std,skew,kurtosis
0,1,0,open,0.9099946480519135,0.8465512925030064,1.3017819963986208,1.352531444915515
1,1,0,open,0.31053756877575656,0.3832750815154478,2.8212149160785724,8.335591848880972
2,1,0,open,0.14501642159482933,0.08338061891914639,1.2078253462595923,2.1402504383994385
3,1,0,open,0.12437771234982285,0.05348659325127518,1.0309371442221356,2.0112420404758122
4,1,0,open,0.12127428965234312,0.053172446655665034,1.2126800129364839,2.589166946872303
5,1,0,open,0.10361603384786598,0.043573868937107775,0.9564262504637805,1.1777051562049348
6,1,0,open,0.0838800582027841,0.03908903631604995,0.6615251857376617,0.22321443065704294
7,1,0,open,0.07347975952212621,0.036945615249862056,0.8427420476026003,0.5891141868092222
8,1,0,open,0.07620060512879745,0.03773607775718185,1.0422982662447866,1.1125141453210778
9,1,0,open,0.06845178271738471,0.03375615368326004,1.2574003441236716,1.9387766816472505
10,1,0,open,0.06878829313302072,0.03605884905123168,1.5712880018059858,3.2843826085507244
11,1,0,open,0.06607501281656543,0.03388775002755842,1.817323992766394,5.066335276460807
12,1,0,open,0.06181772463594351,0.02822179937683862,1.1754030973704337,2.334986392832919
13,1,0,open,0.06955498820273856,0.03309133204080855,0.8396595677368239,0.7091445239384533
14,1,0,open,0.06038569012360252,0.03485548179409287,0.8454660282412769,0.15442889658604697
15,1,0,open,0.051325571940684885,0.03153842895478006,1.6238226213114648,3.1014821789402323
16,1,0,open,0.05957575307281503,0.0345269122821745,1.5124682079717535,2.6524528873083604
17,1,0,open,0.057000349484596716,0.034719873838022046,1.6199700370064911,3.0475938840268295
18,1,0,open,0.054923269927679944,0.03261397703497559,1.5113736468243448,2.6783153936569253
19,1,0,open,0.06183902746726755,0.03304093097432275,1.0246310638645213,0.9086777450989181
20,1,0,open,0.06775508363079737,0.03156808097460582,1.112119041163044,2.288552083734439
21,1,0,open,0.06534346591413102,0.030822130259490953,1.08199480376485,2.445907524281271
22,1,0,open,0.06629839182575369,0.03233834386951992,0.8101184503110844,0.5222421374375248
23,1,0,open,0.07589343237471283,0.040705500475006186,1.4963077866085612,3.439452995789247
24,1,0,open,0.0685231965068924,0.04186501508897807,1.628108991839461,3.7319109404679898
25,1,0,open,0.05879956709052041,0.02897042844856753,0.8954769035714905,0.711247008866073
26,1,0,open,0.06779328327655473,0.033448911936261934,1.3086908965629092,2.673314071579574
27,1,0,open,0.07091083272228806,0.03386245119842422,1.0857684049090028,1.9206576680618488
28,1,0,open,0.06267318368795491,0.029956313870432984,0.5856505256551202,-0.3817749460885276
29,1,0,open,0.05578139509496596,0.029357207385631058,0.9428262406607442,0.6232000502512847
30,1,0,open,0.05769634139544822,0.029810330507570093,1.0555405228504098,1.295567439760756
31,1,0,open,0.06426752199055255,0.033145809061757306,0.6210085076777533,-0.042723382573091495
32,1,0,open,0.06764343832957172,0.034985958024611956,0.42255998844535353,-0.46485593945631054
33,1,0,open,0.06543203590939264,0.03640477366287353,0.9085380883162404,1.1634866967093505
34,1,0,open,0.05730185658947744,0.03386271810762192,1.2479426937355387,2.422271725343662
35,1,0,open,0.05593327943623407,0.029849905548842842,1.000081143550515,0.6663247981432918
36,1,0,open,0.05783944392480067,0.02801846433019629,1.060794862720757,1.0364523394714737
37,1,0,open,0.06030620709686049,0.02714184511306532,0.8109476909754143,0.2809678092625254
38,1,0,open,0.056698690805080644,0.027696138400006995,0.98714227339153,0.7898796258346805
39,1,0,open,0.052203472250537945,0.028808573217698384,1.0891963123328439,0.7967589949907357
40,1,0,open,0.04745922967107497,0.027478056334801524,1.0116311776726883,0.5559756081256895
41,1,0,open,0.05048792829753609,0.02555736055757217,0.9113244688913915,1.234404358713479
42,1,0,open,0.059067727466884455,0.027783584833752668,0.8604781612398104,0.7746314835748898
